filename,title,doi,year,journal,abstract,pages,size_mb,authors,citationCount
@1-s2.0-S0927776522003551-main.pdf,Hydrophilic tyrosine-based phenolic resin with micro-ripples morphology for marine antifouling application,10.1016/j.colsurfb.2022.112672,2022,Colloids and Surfaces B: Biointerfaces,"Since biofouling challenges negatively influence the marine and transportation industries, developing effective antifouling materials have attracted extensive concern. A tyrosine-based antifouling phenolic resin (TPP resin) was synthesized using tyrosine as a natural phenol source. TPP exhibited shell-like surface morphology with micro-ripples and excellent anti-adhesion properties against bacteria and diatom. The micro-ripples surface might be caused by the strong hydrogen bonding or ionic interaction among tyrosine units resulting in micro­ phase separation during the curing process. Tyrosin",8,7.3,Xuan Yuan; Yudan Wang; Lijia Liu; Hongxing Dong; Guoxing Yang,14
@1-s2.0-S0927776524002212-main.pdf,The antibacterial and antialgal enhancement of the hydroquinone acrylamide polyurethane coating based on microphase separation,10.1016/j.colsurfb.2024.113962,2024,Colloids and Surfaces B: Biointerfaces,"The undesirable and inevitable adhesion of marine organisms on submerged surfaces has seriously affect the environment, economy and society, so emerging and promising strategies for antifouling are required. Here, the novel and environmental strategy of the antibacterial and antialgal materials was proposed for the application of the antifouling coating without releasing harmful substances. The environment-friendly antifouling agent, the capsaicin derivative N-(2,5-dihydroxy-4-acrylamide meth-ylbenzyl)acrylamide (PHABA), was modified to the molecular chain of the polyurethane. The best tensile",9,7.93,Xu Chang; Shi Xiaohui; Zhang Zhijia; Zhou Wenjun; Zhang Songsong; Wang Guojun; Wang Qiang; Ma Teng; Wang Lin; Wei Hao,6
@1-s2.0-S095965262303696X-main.pdf,A highly antifouling and eco-friendly hydrogel coating based on capsaicin derivative -functionalized polymer,10.1016/j.jclepro.2023.139538,2023,Journal of Cleaner Production,"Antifouling hydrogels have received extensive attention in the field of marine antifouling due to their excellent hydrophilicity and environmental friendliness. However, the antifouling applications of traditional hydrogels are limited by their poor antibacterial properties, and capsaicin derivatives, as nontoxic and environmentally friendly antifoulants, can be used to improve the antibacterial properties of hydrogels. From the perspective of practical application, hydrogels were obtained by crosslinking the copolymer of the capsaicin derivative N,N’- ((4,5,6-trihydroxy-1,3-phenylene) bis (me",11,8.38,Guangling He; Yuhua Liu; Wenyan Liu; Lei Dong; Liangmin Yu; Li Wang,37
@1-s2.0-S1004954122003512-main.pdf,Eco-friendly biodegradable polyurethane based coating for antibacterial and antifouling performance,10.1016/j.cjche.2022.09.004,2023,Chinese Journal of Chemical Engineering,"Biofouling, which comprises the absorption of proteins and the adhesion of bacteria to the surface of liv- ing entities, is a severe concern for the maritime sector since it ultimately leads to hydrodynamic drag, resulting in a higher increase in fuel consumption. As a result, polymer resins are crucial in the marine sector for anti-biofouling coatings. In this work, the poly(caprolactone-ethylene glycol-caprolactone)-p olyurethane (PECL-PU) are prepared through e-caprolactone (CL), poly(ethylene glycol) (PEG), 4,40- methylene bis(cyclohexyl isocyanate) and 1,4 butanediol. Our study demonstrat",9,2.35,Abid Ali; Bilal Ul Amin; Wenwu Yu; Taijiang Gui; Weiwei Cong; Kai Zhang; Zheming Tong; Jiankun Hu; Xiaoli Zhan; Qinghua Zhang,23
@1-s2.0-S1381514821001668-main.pdf,Construction of antifouling fluorinated polymer brush via activators regenerated by electron transfer ATRP and thiol-epoxy click reaction,10.1016/j.reactfunctpolym.2021.104974,2021,Reactive and Functional Polymers,"In this work, fluorine containing polymer brushes was grafted on the functionalized stainless steel (SS) by ac­ tivators regenerated by electron transfer atom transfer radical polymerization (ARGET-ATRP) and thiol-epoxy click reaction. PGMA brushes would be grafted on SS by coating the sheets with brominated polydopamine (PDA) as a reactive under-layer, and subsequently surface-initiate ARGET-ATRP of glycidyl methacrylate (GMA). Then the short-fluorinated alkyl chains were anchored on the PGMA backbones based on the click reaction between epoxy groups of PGMA and 1H, 1H, 2H, 2H-perfluorodecane",8,2.54,Lin Chen; Lin Li; Xu Zhao; Shuangshuang Wang; Yuchao Li; Guang Li; Xiangcai Ge; Liping Wang,12
@1-s2.0-S1385894719312823-main.pdf,Direct formation of amphiphilic crosslinked networks based on PVP as a marine anti-biofouling coating,10.1016/j.cej.2019.06.025,2019,Chemical Engineering Journal,"In this work, we developed a novel amphiphilic coating by incorporating poly (N-vinylpyrrolidone) (PVP), a highly hydrophilic polymer with strong physicochemically stability, into polydimethylsiloxane (PDMS) matrix. PVP was ﬁrstly functionalized with triethoxysilane and then directly crosslinked with PDMS to form an am- phiphilic network coating at room temperature. Results suggested that the hydrophilicity of PDMS matrix was signiﬁcantly improved after the modiﬁcation. Moreover, compared to pristine PDMS, PDMS-PVP coatings could eﬃciently prevent the adhesion of bacteria and Navicula diatoms ",11,3.55,Hongshuang Guo; Jing Yang; Weiqiang Zhao; Tong Xu; Cunguo Lin; Jinwei Zhang; Lei Zhang,103
@1-s2.0-S1385894720337980-main.pdf,Enhanced antifouling strategy with a strong synergistic effect of fluorescent antifouling and contact bacteriostasis using 7-amino-4-methylcoumarin,10.1016/j.cej.2020.127676,2021,Chemical Engineering Journal,"Low surface energy coating can protect marine equipment from biofouling, however, remaining a challenge in static applications due to the lack of shear force provided by water scour. Herein, we developed a polyurethane with polydimethylsiloxane (PDMS), polytetrahydrofuran (PTMG) as main chains and 7-amino-4-methylcoumarin as antifouling group by condensation polymerization. Besides the fluorescence response to the ultraviolet band in seawater with high transmittance, the typical benzopyrone framework of 7-amino-4-methylcoumarin endows antibacterial properties. Owing to the strong synergistic e",7,5.74,Hongyu Guo; Lina Song; Jiankun Hu; Tengfei Lin; Xiaohan Li; Haojie Yu; Dangguo Cheng; Yang Hou; Xiaoli Zhan; Qinghua Zhang,98
@1-s2.0-S1385894720342509-main.pdf,Fabrication of bio-based amphiphilic hydrogel coating with excellent antifouling and mechanical properties,10.1016/j.cej.2020.128134,2021,Chemical Engineering Journal,"Antifouling coatings are crucial to protect marine facilities and aquacultures from the damage of microorganisms for long-term serves. However, it is still a challenge to fabricate coating with excellent antifouling performance and superior mechanical stability. Here, we report a bio-based amphiphilic hydrogel coating with excellent antifouling and mechanical properties. The coating was achieved by the in-situ formation of hydrophobic and hydrophilic interpenetrating polymer network (IPN). The hydrophobic part from a synthesized silicon-containing epoxy resin contributes to superior mechanical",14,16.54,Guangming Lu; Shu Tian; Jingyu Li; Yongjian Xu; Shuan Liu; Jibin Pu,122
@1-s2.0-S1385894721040493-main.pdf,Sea slug inspired smart marine antifouling coating with reversible chemical bonds: Controllable UV-responsive coumarin releasing and efficient UV-healing properties,10.1016/j.cej.2021.132471,2022,Chemical Engineering Journal,"Poly(dimethylsiloxane) (PDMS) has been received widespread attention as marine antifouling coatings, while its controllable release performance of antifoulants and mechanical behavior are relatively insufficient. In this study, inspired by sea slug’s defensive behavior against predators by ingesting toxins from prey and then releasing these toxins, a PDMS-based smart marine antifouling polyurethane (PU) coating was prepared, which had UV-responsive controllable coumarin-releasing and UV-healing properties. The UV-responsive coumarin- releasing mechanism was based on the dimerization and de-dim",10,9.87,Zheming Tong; Qingqing Rao; Sifan Chen; Lina Song; Jiankun Hu; Yang Hou; Xiang Gao; Jianguo Lu; Xiaoli Zhan; Qinghua Zhang,84
@1-s2.0-S1385894722033617-main.pdf,"Simultaneous realization of antifouling, self-healing, and strong substrate adhesion via a bioinspired self-stratification strategy",10.1016/j.cej.2022.137875,2022,Chemical Engineering Journal,"Antifouling ability and substrate adhesion are typical trade-offs seen for a silicone coating. Furthermore, the self- healable inability limits their duration. This study reports a bioinspired self-stratifying coating composed of a polyurethane with dopamine and silane pedant groups and a bi-silanol-terminated poly(dimethylsiloxane) with fluorocarbon and poly(ethylene glycol) segments as a reactive amphiphilic polymer (RAP). During coating for­ mation, the RAP with low surface energy can be enriched on the surface due to the self-stratifying effects, whereas the bioinspired dopamine and silane",9,4.66,Peng Hu; Ru Xie; Qingyi Xie; Chunfeng Ma; Guangzhao Zhang,79
@1-s2.0-S1385894724014141-main.pdf,Carp-inspired self-regulating marine antifouling coating: Featuring robust controlled release of eugenol and high-efficiency self-healing performance,10.1016/j.cej.2024.149929,2024,Chemical Engineering Journal,"The practical application of low surface energy polydimethylsiloxane (PDMS) in marine antifouling is signifi­ cantly limited due to its inadequate static antifouling capability. Herein, integrating a strategy inspired by carps to release antifouling agents with the fouling release properties of low surface energy materials, an innovative self-regulating marine antifouling coating (named PDMS-Pun-x) was developed, which demonstrates remarkable robust ability of controlled release of eugenol and efficient self-healing performance. Under seawater, the coating regulates its inherent hydrophilicity",12,9.8,Jiahuan Liu; Qiang Li; Taijiang Gui; Hongyu Guo; Kai Zhang; Fandong Meng; Xiaoli Zhan; Quan Liu; Qinghua Zhang,60
@1-s2.0-S1385894724105487-main.pdf,A catfish Skin-inspired dual-antifouling epoxy thermoset as coatings for marine antifouling applications,10.1016/j.cej.2024.159057,2025,Chemical Engineering Journal,"Simultaneously endowing marine coatings with excellent intrinsic bactericidal and anti-adhesion properties is a subject of great practical significance and challenge. Inspired by the dual-antifouling effect of catfish, we developed epoxy thermoset as marine antifouling coatings with contact sterilization and anti-adhesion capa­ bilities. Here, a dual-antifouling epoxy thermoset can be conveniently obtained by using bisphenol A diglycidyl ether (DGEBA) as the matrix resin, 1,3-diamino-2-hydroxypropane (DAHP) as the antibacterial curing agent, and polyethylene glycol dicarboxylate diglycidyl eth",11,11.06,Peizhan Cao; Shu Tian; Jinyue Dai; Jiayin Li; Guangming Lu; Xiaoqing Liu,34
@1-s2.0-S138589472504015X-main.pdf,Engineered design of self-cleaning and antifouling organosilicon/eugenol-based zinc acrylate resin composite coating by forming semi-interpenetrating polymer networks,10.1016/j.cej.2025.163181,2025,Chemical Engineering Journal,"The practical application of low surface energy organosilicon in marine antifouling is significantly limited due to its poor ability to eliminate biofoulings. Herein, combining organosilicon with zinc acrylate resin containing eugenol group (EAM-Zn) by means of semi-interpenetrating polymer networks (SIPNs), an innovative self- cleaning and antifouling composite coating was developed (named ExSiy), which integrates low surface energy and self-polishing. After 35 days of immersion in seawater, the hydrophobic organosilicon of E1Si3 coating impedes the penetration of water molecules into the int",13,12.58,Zheng Wang; Shuhong Nie; Enhui He; Guanglei Song; Xiaohui Jiang; Xia Li; Xuefeng Yan; Liangmin Yu,6
@1-s2.0-S1385894725049228-main.pdf,Facile fabrication of polyacrylate-siloxane antifouling coatings with self-generated biomimetic surface,10.1016/j.cej.2025.164087,2025,Chemical Engineering Journal,"Antifouling coatings with biomimetic micro-nano structure have been widely explored for the replacement of traditional self-polishing coatings that relied on high content of biocides. However, their application is limited by the complicated preparation process as well as the lack of antibacterial effect and durability of micro-nano structure. Herein, a bactericide-free antifouling coating with capability to self-generate biomimetic surface was prepared using trimethoxysilyl/triisopropylsilyl ester-bearing polyacrylate and amino-silane coupling agent. Owing to the spontaneous phase separation o",13,14.49,Haofeng Xiao; Kai Zhang; Taijiang Gui; Shuxue Zhou,15
@1-s2.0-S1385894725051976-main.pdf,Nature-inspired silicone-polythiourethane coatings based on capsaicin analogue for marine biofouling control,10.1016/j.cej.2025.164362,2025,Chemical Engineering Journal,"Capsaicin analogue, as natural product analogues, have demonstrated significant anti-fouling effects. However, few studies have explored the fluorescence properties of capsaicin in marine biofouling control. A novel capsaicin analogue, N-(2-ethoxynaphthalene)-acrylamide (NEA), was successfully synthesized through a Friedel-Crafts alkylation reaction. A series of nature-inspired silicone-polythiourethane coatings based on capsaicin analogue, denoted as PP-NEA-x, were prepared via a thiol-ene click reaction. Due to the polythiourethane matrix, these coatings exhibited excellent mechanical proper",10,6.85,Kang Feng; Sheng Li; Najla AlMasoud; Jiaying Li; Yue Ma; Congying Yin; Zeyu Jie; Yiding Wang; Taghrid S. Alomar; Xia Li,11
@1-s2.0-S1385894725106712-main.pdf,Self-renewing zwitterionic silicone hybrid coatings with multi-modal bacterial resistance for superior anti-biofouling performance,10.1016/j.cej.2025.169828,2025,Chemical Engineering Journal,"Zwitterion-modified silicone coating has gained prominence as eco-friendly antifouling materials due to the inherent resistance to microbial adhesion through hydrophilic charge rich feature. However, zwitterion-modified silicone exhibits poor static antibacterial efficacy as bacterial accumulation gradually compromises their anti­ fouling capability. To address this issue, we innovatively propose a dynamic hybrid coating architecture inte­ grating flexible polydimethylsiloxane (PDMS) chain segments, zwitterionic sulfobetaine silane (SBSi) with cinnamaldehyde (CAL) and terephthalaldehyde (TPA) ",12,11.53,Yuchen Zhong; Minglong Yan; Saijun Wu; An Su; Jibin Pu,13
@1-s2.0-S1742706116300733-main.pdf,Molecular level studies on interfacial hydration of zwitterionic and other antifouling polymers in situ,10.1016/j.actbio.2016.02.030,2016,Acta Biomaterialia,"Antifouling polymers have wide applications in biomedical engineering and marine industry. Recently, zwitterionic materials have been reported as promising candidates for antifouling applications, while strong hydration is believed to be the key antifouling mechanism. Zwitterionic materials can be designed with various molecular structures, which affect their hydration and antifouling performance. Although strong hydration has been proposed to occur at the material surfaces, probing the solid material/water interfaces is challenging with traditional analytical techniques. Here in this review, ",10,3.01,Chuan Leng; Shuwen Sun; Kexin Zhang; Shaoyi Jiang; Zhan Chen,230
@1-s2.0-S2352940725000307-main.pdf,Robust non-sticky/sticky antifouling coating capable of temporal evolution,10.1016/j.apmt.2025.102611,2025,Applied Materials Today,"Antifouling coatings, which have important value for submerged marine structures, are faced with the challenge of inherent conflicting property requirements, i.e. the topcoat is desirable to prevent adherence of marine or­ ganisms and the basecoat should be able to maximize bonding to the substrate. Besides, the existing antifouling coatings have other tricky problems, like easy depletion of liquid lubricant of slippery liquid-infused porous surface and poor static microbes resistance of hydrophobic surface. Herein, a facile solution is proposed using the newly developed reversibly interlocked",12,5.32,Zheng Yue Wang; Yuyang Cao; Lanyue Zhang; Ze Ping Zhang; Min Zhi Rong; Ming Qiu Zhang,1
@1-s2.0-S2468023026001148-main.pdf,Self-healing and self-renewing low surface energy fluorescent antifouling coatings based on dynamic reversible covalent bonds,10.1016/j.surfin.2026.108527,2026,Surfaces and Interfaces,"To address the environmental toxicity concerns associated with traditional organotin antifouling coatings, this study proposes a novel eco-friendly antifouling coating based on multifunctional synergistic mechanisms. A dynamic imine bond-mediated crosslinking strategy was employed to integrate aminopropyl-terminated poly­ dimethylsiloxane (PDMS) with aldehydic fluorescent molecules (BTB, TPB, SPB), creating a multifunctional coating that combines low surface energy, self-healing properties, fluorescent antifouling capabilities, and pH- responsive self-renewal characteristics. Experimental resu",11,12.12,Haicheng Yang; Yuhong Qi; Zhanping Zhang,1
@21.pdf,Surface-fragmenting hyperbranched copolymers with hydrolysis-generating zwitterions for antifouling coatings,,2020,,,8,4.27,,
@24.pdf,Self‐Regenerating Zwitterionic Hydrogel Coating Modified by Metal‐Organic Framework for Integrated Anti‐Biofouling and Anti‐Corrosion,10.1002/adfm.202424994,2025,Advanced Functional Materials,,8,3.14,Yichen Zhang; Jiansen Pan; Qingyi Xie; Chunfeng Ma; Guangzhao Zhang,34
@29.pdf,Strong-adhesion and nonfouling self-generating zwitterionic Janus hydrogel paint,10.1016/j.cej.2024.149959,2024,Chemical Engineering Journal,"Zwitterionic hydrogel paints are promising and ecofriendly materials to prevent biofouling and oil contamina­ tion. However, the weak adhesion of hydrogel paints to substrates and tedious fabrication and coating processes limit their practical applications. Herein, a novel self-generating zwitterionic Janus hydrogel paint consisting of a polymer copolymerized by methyl methacrylate (MMA), tertiary carboxybetaine triisopropylsilyl ester ethyl acrylate (TCBSi), and 3-(methacryloxypropyl) trimethoxysilane (KH570) is reported. The polymer, when coated on a substrate, self-crosslinks into the polym",10,10.6,Yichen Zhang; Qingyi Xie; Jiansen Pan; Chunfeng Ma; Guangzhao Zhang,38
@D0TB00886A.pdf,Surface-fragmenting hyperbranched copolymers with hydrolysis-generating zwitterions for antifouling coatings,,2020,,,8,4.27,,
@D2TB02522A.pdf,Dual functionalized brush copolymers as versatile antifouling coatings,10.1039/d2tb02522a,2023,Journal of Materials Chemistry B,,12,4.35,Jihyo Kil; Rafia Tasnim Rahman; Wenxuan Wang; Saehan Choi; Yoon Sung Nam; Sheng Li,18
@Functional polymer brushes via surface-initiated atom transfer radical graft polymerization for combating marine biofouling.pdf,Functional polymer brushes <i>via</i> surface-initiated atom transfer radical graft polymerization for combating marine biofouling,10.1080/08927014.2012.719895,2012,Biofouling,,19,2.61,Wen Jing Yang; Koon-Gee Neoh; En-Tang Kang; Serina Siew Chen Lee; Serena Lay-Ming Teo; Daniel Rittschof,64
@J of Applied Polymer Sci - 2009 - Subramanyam - Synthesis  characterization  and evaluation of antifouling polymers of.pdf,"Synthesis, characterization, and evaluation of antifouling polymers of 4‐acryloyloxybenzaldehyde with methyl methacrylate",10.1002/app.29313,2009,Journal of Applied Polymer Science,"In recent years, antifouling (AF) polymers are widely used in marine paints to protect the ship hulls from biofouling. The AF polymer coatings have better leaching characteristics and long lasting efﬁciency than other conventional formulations. In this study, an attempt has been made to prepare new p-acryloyloxybenzaldehy- de(AcBA) polymers to assess their AF efﬁciency against marine microfoulers. The monomer, AcBA was prepared by the esteriﬁcation reaction between p-hydroxybenzalde- hyde (HBA) and acryloyl chloride (Ac) in presence of trie- thylamine (TEA) in MEK at 0C. The reaction was moni",9,0.5,Elango Subramanyam; Sidharthan Mohandoss; Hyun‐Woung Shin,15
@J of Applied Polymer Sci - 2014 - Zhan - Preparation  surface wetting properties  and protein adsorption resistance of.pdf,"Preparation, surface wetting properties, and protein adsorption resistance of well‐defined amphiphilic fluorinated diblock copolymers",10.1002/app.41167,2014,Journal of Applied Polymer Science,"Novel well-defined amphiphilic fluorinated diblock copolymers P(PEGMA-co-MMA)-b-PC6SMA were synthesized success- fully by RAFT polymerization and characterized by FTIR, 1HNMR and GPC. For copolymer coatings, static contact angles, h, with water (hwater  109.5) and n-hexadecane (hhexadecane  68.9) pointed to the simultaneous hydrophobic and lipophobic characteristics of the copolymer surfaces. Dynamic contact angle measurements indirectly demonstrated that copolymer films underwent surface reconstruction upon contact with water, which results in a surface with surface coverage of polar PEG ",12,1.1,Xiaoli Zhan; Guangfa Zhang; Qinghua Zhang; Fengqiu Chen,14
@J of Applied Polymer Sci - 2016 - Chen - Poly propylene carbonate  polyurethane self‐polishing coating for marine.pdf,Poly(propylene carbonate) polyurethane self‐polishing coating for marine antifouling application,10.1002/app.43667,2016,Journal of Applied Polymer Science,"In this contribution, a series of environmentally friendly thermoplastic poly(propylene carbonate) polyurethane (PPCU) were prepared by two-step condensation polymerization and used to fabricate antifouling coatings. The poly(propylene carbonate) (PPC) seg- ments served as degradable moieties. Quartz crystal microbalance with dissipation (QCM-D) measurements revealed that the polyur- ethane could degrade in the presence of enzyme and the degradation rate increases with the decrease of the molecular weight of the polyurethane. Investigation on the hydrolytic degradation behavior and the release",9,0.95,Yongyue Chen; Zhixiong Liu; Sheng Han; Jin Han; Daoyi Jiang,38
@J of Applied Polymer Sci - 2016 - Wu - Highly efficient antifouling property based on self‐generating hydrogel layer of.pdf,Highly efficient antifouling property based on self‐generating hydrogel layer of polyacrylamide coatings,10.1002/app.44111,2016,Journal of Applied Polymer Science,"Pursuit of robust antifouling coatings is a persistent objective for marine materials. We present here the experimental real- ization of a series of polyacrylamide-based resins with a self-generating hydrogel layer, arising from the polymerization of acrylamide (AM), butyl acrylate, methacrylic acid, and AM derivatives. The mechanical strength and thermal stability are markedly enhanced due to the change of the structure of modified resins. The preliminary results indicate that resultant resins with crosslinking structure show satisfactory abrasion resistance and swelling properties. The resul",11,1.61,Gang Wu; Chang‐Cheng Li; Xiao‐Hui Jiang; Liang‐Min Yu,21
@J of Applied Polymer Sci - 2025 - Zhou - Dopamine‐Assisted Rapid Construction of Zwitterionic Polymeric Coating for.pdf,Dopamine‐Assisted Rapid Construction of Zwitterionic Polymeric Coating for Improved Antifouling and Bactericidal Properties,10.1002/app.58083,2025,Journal of Applied Polymer Science,"With the escalating challenges of biological contamination, surface modification technology has become a promising strategy to develop multifunctional materials. Antifouling coatings based on zwitterionic/quaternary ammonium polymers have been widely applied in medical, chemical, and marine antifouling fields due to their excellent biological inertness and remarkable antifouling and bactericidal properties. However, the limited adhesion of these coatings to substrate surfaces significantly re- stricts their application. An ideal antifouling and bactericidal coating should not only exhibit high",13,1.53,Dejie Zhou; Fei Ma; Xuanjie Zheng; Nianfeng Han; Xinde Tang; Fuying Dong; Haixia Cheng; Peng Wang; Qingzhao Wang,1
@Macromolecular Rapid Communications - 2019 - Sch攏emann - Synthesis of Novel Sulfobetaine Polymers with Differing Dipole.pdf,"Synthesis of Novel Sulfobetaine Polymers with Differing Dipole Orientations in Their Side Chains, and Their Effects on the Antifouling Properties",10.1002/marc.201900447,2019,Macromolecular Rapid Communications,,7,1.12,Eric Schönemann; Julian Koc; Nick Aldred; Anthony S. Clare; André Laschewsky; Axel Rosenhahn; Erik Wischerhoff,46
@Macromolecular Rapid Communications - 2021 - Schardt - Low Fouling Polysulfobetaines with Variable Hydrophobic Content.pdf,Low Fouling Polysulfobetaines with Variable Hydrophobic Content,10.1002/marc.202100589,2021,Macromolecular Rapid Communications,,12,1.26,Lisa Schardt; Alejandro Martínez Guajardo; Julian Koc; Jessica L. Clarke; John A. Finlay; Anthony S. Clare; Harrison Gardner; Geoffrey W. Swain; Kelli Hunsucker; André Laschewsky,28
@Marine antifouling performance of polymer coatings incorporating zwitterions.pdf,Marine antifouling performance of polymer coatings incorporating zwitterions,10.1080/08927014.2017.1383983,2017,Biofouling,,13,2.74,Claudia Ventura; Andrew J. Guerin; Osama El-Zubir; Antonio J. Ruiz-Sanchez; Luke I. Dixon; Kevin J. Reynolds; Marie L. Dale; James Ferguson; Andrew Houlton; Benjamin R. Horrocks,54
@Polymer Engineering   Sci - 2009 - Feng - Synthesis and antibiofouling properties of novel crosslinkable terpolymers.pdf,Synthesis and antibiofouling properties of novel crosslinkable terpolymers containing semifluoroalkyl substituted aromatic side chains,10.1002/pen.21619,2009,Polymer Engineering & Science,,8,0.41,Shijun Feng; Yangen Huang; Qiang Wang; Yu Gao; Feng‐Ling Qing,6
@coral-inspired-zinc-acrylate-polymer-utilizing-coumarin-as-the-fluorescent-unit-for-marine-antifouling.pdf,Coral-Inspired Zinc Acrylate Polymer Utilizing Coumarin as the Fluorescent Unit for Marine Antifouling,10.1021/acs.biomac.4c01574,2025,Biomacromolecules,"The need for low-cost and effective antifouling solutions drives innovation in the fields of chemistry, materials science, and biology. In this work, guided by the antifouling strategies used by fluorescent corals, a series of fluorescent zinc acrylate polymer coatings containing coumarin units (ZAR- coumarin) was successfully prepared. The ZAR-coumarin coatings demonstrated excellent antifouling properties due to the synergistic action of multiple antifouling mechanisms, including fluorescent antifouling, natural bactericidal activity, and self-polishing surface renewal (due to ester group (−",17,5.56,Jianwei Hou; Guobo Chen; Xinghai Hao; Jiali Xu; Geoffrey I. N. Waterhouse; Zhiming Zhang; Liangmin Yu,10
@d1cs00658d.pdf,Bioinspired dopamine and zwitterionic polymers for non-fouling surface engineering,10.1039/d1cs00658d,2021,Chemical Society Reviews,,16,5.92,Anika Benozir Asha; Yangjun Chen; Ravin Narain,266
@formation-of-amphiphilic-zwitterionic-thin-poly(sbma-co-tfema)-brushes-on-solid-surfaces-for-marine-antifouling.pdf,Formation of Amphiphilic Zwitterionic Thin Poly(SBMA-<i>co</i>-TFEMA) Brushes on Solid Surfaces for Marine Antifouling Applications,10.1021/acs.langmuir.3c03687,2024,Langmuir,"Water molecules can bind to zwitterionic polymers, such as carboxybetaine and sulfobetaine, forming strong hydration layers along the polymer chains. Such hydration layers act as a barrier to impede the attachment of marine fouling organisms; therefore, zwitterionic polymer coatings have been of considerable interest as marine antifouling coatings. However, recent studies have shown that severe adsorption of marine sediments occurs on zwitterionic-polymer-coated surfaces, resulting in the degradation of their marine antifouling performance. Therefore, a novel approach for forming amphiphilic z",9,4.47,Inho Kim; Sung Min Kang,30
@highly-branched-copolymers-with-degradable-bridges-for-antifouling-coatings.pdf,Highly Branched Copolymers with Degradable Bridges for Antifouling Coatings,10.1021/acsami.9b22748,2020,ACS Applied Materials & Interfaces,"The antifouling properties of traditional self-polishing marine antifouling coatings are mainly achieved based on their hydrolysis-sensitive side groups or the degradable polymer main chains. Here, we prepared a highly branched copolymer for self- polishing antifouling coatings, in which the primary polymer chains are bridged by degradable fragments (poly-ε-caprolactone, PCL). Owing to the partial or complete degradation of PCL fragments, the remaining coating on the surface can be broken down and eroded by seawater. Finally, the polymeric surface is self-polished and self-renewed. The designe",7,3.49,Hongjun Yang; He Chang; Qian Zhang; Yiye Song; Li Jiang; Qimin Jiang; Xiaoqiang Xue; Wenyan Huang; Chunfeng Ma; Bibiao Jiang,66
@ijms-26-04118.pdf,Intrinsic Antibacterial Urushiol-Based Benzoxazine Polymer Coating for Marine Antifouling Applications,10.3390/ijms26094118,2025,International Journal of Molecular Sciences,"Marine antifouling coatings that rely on the release of antifouling agents are the most prevalent and effective strategy for combating fouling. However, the environmental concerns arising from the widespread discharge of these agents into marine ecosystems cannot be overlooked. An innovative and promising alternative involves incorporating antimicrobial groups into polymers to create coatings endowed with intrinsic antimicrobial properties. In this study, we reported an urushiol-based benzoxazine (URB) monomer, synthesized from natural urushiol and antibacterial rosin amine. The URB monomer wa",18,5.36,Nuo Chen; Jide Zhu; Xinrong Chen; Fengcai Lin; Xiaoxiao Zheng; Guocai Zheng; Qi Lin; Jipeng Chen; Yanlian Xu,8
@marine-antifouling-coatings-based-on-durable-bottlebrush-polymers.pdf,Marine Antifouling Coatings Based on Durable Bottlebrush Polymers,10.1021/acsami.2c06647,2022,ACS Applied Materials & Interfaces,"We report a next-generation, biocide-free, and durable marine antifouling coating technology. To achieve this, we combined two different polymers previously developed by us. First, we synthesized well- defined 2-hydroxypropyl acrylamide (HPA) based bottlebrush polymers with concentrated polymer brush (CPB) structures, which exhibit excellent bioinertness, and second, we synthesized photoreactive copolymers of 2-hydroxypropyl acrylamide (HPA) and N-benzophenone acrylamide (BPA), which can be cross-linked by exposure to sunlight for 30 min. Simply mixing the bottlebrush polymers with the photore",13,6.28,Chiaki Yoshikawa; Ryoma Takagi; Tadashi Nakaji-Hirabayashi; Toshiro Ochi; Yasushi Kawamura; Helmut Thissen,23
@molecules-28-08040.pdf,Sustainable Coating Based on Zwitterionic Functionalized Polyurushiol with Antifouling and Antibacterial Properties,10.3390/molecules28248040,2023,Molecules,"Zwitterionic polymer coatings facilitate the formation of hydration layers via electrostatic interactions on their surfaces and have demonstrated efﬁcacy in preventing biofouling. They have emerged as a promising class of marine antifouling materials. However, designing multifunctional, environmentally friendly, and natural products-derived zwitterionic polymer coatings that simulta- neously resist biofouling, inhibit protein adhesion, exhibit strong antibacterial properties, and reduce algal adhesion is a signiﬁcant challenge. This study employed two diisocyanates as crosslinkers and natural ",17,5.27,Kaiyue Xu; Huimin Xie; Chenyi Sun; Wenyan Lin; Zixuan You; Guocai Zheng; Xiaoxiao Zheng; Yanlian Xu; Jipeng Chen; Fengcai Lin,28
